subject,language,variable,n,categories,chi2,df,p,top_category,top_share,low_exp_cells
Fruit,Danish,category_1,50,6,34.24,5,2.132882519469916e-06,grapes,0.38,0
Fruit,Danish,category_2,50,5,98.2,4,2.376723522474446e-20,red,0.76,0
Fruit,English,category_1,50,7,55.56,6,3.5725218002384785e-10,grapes,0.44,0
Fruit,English,category_2,50,5,24.6,4,6.0538201359007005e-05,red,0.4,0
Cars,Danish,category_1,50,7,59.76,6,5.0357094960905995e-11,SUV,0.48,0
Cars,Danish,category_2,50,2,42.32,1,7.749599597441835e-11,modern,0.96,0
Cars,English,category_1,50,5,19.8,4,0.0005469040344123115,sports,0.36,0
Cars,English,category_2,50,2,25.92,1,3.558629930076849e-07,modern,0.86,0
Clothes,Danish,category_1,50,6,58.96,5,1.9932343642209138e-11,trousers,0.56,0
Clothes,Danish,category_2,50,3,4.48,2,0.10645850437925285,neutral,0.44,0
Clothes,English,category_1,50,7,9.92,6,0.1280616725652759,suit,0.22,0
Clothes,English,category_2,50,3,42.88,2,4.883445080639024e-10,feminine,0.76,0
Forest,Danish,category_1,50,4,47.44,3,2.8017447615424974e-10,mixed,0.66,0
Forest,Danish,category_2,50,3,62.68,2,2.4502530425985765e-14,summer,0.86,0
Forest,English,category_1,50,3,45.64,2,1.2285700473339535e-10,mixed,0.78,0
Forest,English,category_2,50,2,46.08,1,1.1352143584921967e-11,summer,0.98,0
