language,subject,n_base,n_robust,mean_base,mean_robust,drop_base_minus_robust,welch_t,p,cohen_d,effect
Danish,Fruit,50,50,0.2511,0.2456,0.0055,1.424,0.1575195874018376,0.285,small
Danish,Cars,50,50,0.2616,0.2501,0.0115,2.767,0.0069949664492128735,0.553,medium
Danish,Clothes,50,50,0.2204,0.2258,-0.0054,-1.485,0.14097631269963434,-0.297,small
Danish,Forest,50,50,0.2536,0.2556,-0.0019,-0.75,0.4550116616945802,-0.15,insignificant
Danish,ALL,200,200,0.2467,0.2443,0.0024,1.067,0.28681009926882567,0.107,insignificant
English,Fruit,50,50,0.289,0.286,0.003,0.828,0.4095290935472471,0.166,insignificant
English,Cars,50,50,0.2649,0.2638,0.0011,0.4,0.6903387660754811,0.08,insignificant
English,Clothes,50,50,0.3091,0.2957,0.0135,3.722,0.00033004776188820463,0.744,medium
English,Forest,50,50,0.3079,0.3022,0.0057,3.369,0.0010957174457425526,0.674,medium
English,ALL,200,200,0.2927,0.2869,0.0058,2.618,0.00919121680610804,0.262,small
